Transaction_ID,Account_ID,Transaction_Amount,Transaction_Type,Merchant,Location,Time,Fraud_Flag
TID_112,ACCT_72,430.84,Online,Walmart,New York,2025-06-19 11:22:27.620640,0
TID_113,ACCT_79,566.42,Online,Target,Los Angeles,2025-06-15 11:22:27.620640,0
TID_114,ACCT_45,1753.04,In-store,Best Buy,Chicago,2025-06-25 11:22:27.620640,1
TID_115,ACCT_23,835.06,Online,Target,New York,2025-06-30 11:22:27.620640,1
TID_116,ACCT_27,1896.05,Online,Best Buy,Los Angeles,2025-06-24 11:22:27.620640,1
TID_117,ACCT_89,774.46,In-store,Walmart,New York,2025-07-05 11:22:27.620640,0
TID_118,ACCT_1,1638.55,In-store,eBay,New York,2025-06-20 11:22:27.620640,0
TID_119,ACCT_28,521.34,In-store,Target,San Francisco,2025-07-10 11:22:27.620640,0
TID_120,ACCT_57,459.65,Online,Walmart,Miami,2025-07-10 11:22:27.620640,0
TID_121,ACCT_21,1246.67,Online,Best Buy,San Francisco,2025-06-18 11:22:27.620640,0
TID_122,ACCT_10,1567.86,In-store,Best Buy,San Francisco,2025-07-14 11:22:27.620640,0
TID_123,ACCT_9,1013.45,In-store,Target,Chicago,2025-06-17 11:22:27.620640,0
TID_124,ACCT_59,1126.76,Online,Walmart,San Francisco,2025-06-30 11:22:27.620640,0
TID_125,ACCT_72,995.12,In-store,Best Buy,Los Angeles,2025-06-26 11:22:27.620640,1
TID_126,ACCT_67,1532.84,Online,eBay,Chicago,2025-07-12 11:22:27.620640,1
TID_127,ACCT_7,437.72,In-store,Target,Miami,2025-07-06 11:22:27.620640,0
TID_128,ACCT_21,421.45,Online,Amazon,San Francisco,2025-06-21 11:22:27.620640,0
TID_129,ACCT_27,303.24,In-store,Target,New York,2025-06-18 11:22:27.620640,0
TID_130,ACCT_83,1745.19,In-store,Best Buy,Los Angeles,2025-06-30 11:22:27.620640,0
TID_131,ACCT_9,1282.6,Online,Walmart,New York,2025-06-20 11:22:27.620640,1
TID_132,ACCT_7,1108.14,In-store,Amazon,San Francisco,2025-06-19 11:22:27.620640,0
TID_133,ACCT_39,270.99,In-store,Amazon,Miami,2025-07-06 11:22:27.620640,1
TID_134,ACCT_83,1752.85,In-store,Amazon,New York,2025-07-14 11:22:27.620640,0
TID_135,ACCT_99,574.96,In-store,Walmart,Los Angeles,2025-07-08 11:22:27.620640,1
TID_136,ACCT_93,957.23,Online,Best Buy,New York,2025-06-22 11:22:27.620640,1
TID_137,ACCT_67,756.02,Online,Walmart,New York,2025-06-30 11:22:27.620640,1
TID_138,ACCT_72,1362.2,Online,Best Buy,San Francisco,2025-07-07 11:22:27.620640,0
TID_139,ACCT_64,939.64,In-store,Walmart,Chicago,2025-07-07 11:22:27.620640,0
TID_140,ACCT_29,55.37,In-store,Walmart,Los Angeles,2025-06-24 11:22:27.620640,0
TID_141,ACCT_62,876.58,In-store,Amazon,Los Angeles,2025-07-14 11:22:27.620640,1
TID_142,ACCT_52,636.04,Online,Target,New York,2025-07-04 11:22:27.620640,0
TID_143,ACCT_99,166.48,In-store,Walmart,San Francisco,2025-06-23 11:22:27.620640,1
TID_144,ACCT_26,732.47,Online,Walmart,San Francisco,2025-06-29 11:22:27.620640,1
TID_145,ACCT_19,1918.0,Online,Amazon,Los Angeles,2025-06-30 11:22:27.620640,0
TID_146,ACCT_79,1963.61,Online,Target,San Francisco,2025-06-20 11:22:27.620640,0
TID_147,ACCT_18,690.01,In-store,Target,Miami,2025-07-06 11:22:27.620640,1
TID_148,ACCT_12,46.38,In-store,eBay,San Francisco,2025-07-07 11:22:27.620640,0
TID_149,ACCT_51,1708.31,In-store,eBay,Miami,2025-06-24 11:22:27.620640,0
TID_150,ACCT_43,671.98,In-store,Target,Los Angeles,2025-06-27 11:22:27.620640,1
TID_151,ACCT_69,1162.37,Online,Walmart,Los Angeles,2025-06-17 11:22:27.620640,1
TID_152,ACCT_15,26.18,In-store,Amazon,Los Angeles,2025-07-08 11:22:27.620640,1
TID_153,ACCT_97,1388.48,In-store,Best Buy,Miami,2025-06-29 11:22:27.620640,0
TID_154,ACCT_24,610.68,In-store,Target,Los Angeles,2025-07-09 11:22:27.620640,0
TID_155,ACCT_73,985.08,Online,Target,Chicago,2025-06-21 11:22:27.620640,1
TID_156,ACCT_77,415.1,Online,eBay,Chicago,2025-07-10 11:22:27.620640,0
TID_157,ACCT_88,332.5,In-store,Target,Los Angeles,2025-07-04 11:22:27.620640,0
TID_158,ACCT_99,296.43,In-store,Best Buy,San Francisco,2025-07-04 11:22:27.620640,0
TID_159,ACCT_30,1307.67,In-store,Amazon,Miami,2025-06-18 11:22:27.620640,1
TID_160,ACCT_61,162.08,In-store,eBay,Los Angeles,2025-06-24 11:22:27.620640,0
TID_161,ACCT_71,429.2,In-store,Walmart,San Francisco,2025-07-12 11:22:27.620640,1
TID_162,ACCT_76,1195.28,In-store,Best Buy,New York,2025-06-22 11:22:27.620640,1
TID_163,ACCT_51,670.89,In-store,Target,Chicago,2025-07-04 11:22:27.620640,1
TID_164,ACCT_98,1006.27,In-store,Walmart,New York,2025-07-06 11:22:27.620640,1
TID_165,ACCT_87,51.33,Online,Target,Miami,2025-06-20 11:22:27.620640,0
TID_166,ACCT_44,1022.19,In-store,Target,Chicago,2025-06-19 11:22:27.620640,1
TID_167,ACCT_43,212.82,Online,Amazon,Miami,2025-06-19 11:22:27.620640,1
TID_168,ACCT_41,751.42,In-store,Best Buy,San Francisco,2025-07-09 11:22:27.620640,1
TID_169,ACCT_12,1231.7,Online,Target,Los Angeles,2025-06-16 11:22:27.620640,1
TID_170,ACCT_69,439.0,In-store,Amazon,Miami,2025-06-25 11:22:27.620640,1
TID_171,ACCT_63,1790.13,Online,Amazon,Chicago,2025-06-28 11:22:27.620640,0
TID_172,ACCT_13,30.66,In-store,Walmart,San Francisco,2025-07-04 11:22:27.620640,0
TID_173,ACCT_98,836.63,Online,Walmart,Miami,2025-06-21 11:22:27.620640,0
TID_174,ACCT_4,1552.39,In-store,Best Buy,Miami,2025-06-29 11:22:27.620640,1
TID_175,ACCT_73,1834.56,Online,Target,Chicago,2025-06-18 11:22:27.620640,0
TID_176,ACCT_28,1641.96,Online,Best Buy,Miami,2025-06-25 11:22:27.620640,0
TID_177,ACCT_13,182.79,In-store,Amazon,New York,2025-06-15 11:22:27.620640,0
TID_178,ACCT_47,1372.82,Online,eBay,New York,2025-06-17 11:22:27.620640,0
TID_179,ACCT_61,125.06,Online,Best Buy,Miami,2025-07-09 11:22:27.620640,0
TID_180,ACCT_10,1266.18,Online,Best Buy,San Francisco,2025-07-02 11:22:27.620640,0
TID_181,ACCT_31,618.38,Online,eBay,Los Angeles,2025-07-04 11:22:27.620640,0
TID_182,ACCT_34,575.88,Online,Amazon,Los Angeles,2025-06-29 11:22:27.620640,1
TID_183,ACCT_54,1253.74,In-store,eBay,New York,2025-06-20 11:22:27.620640,1
TID_184,ACCT_82,1703.64,In-store,Walmart,Chicago,2025-07-09 11:22:27.620640,0
TID_185,ACCT_14,1715.04,In-store,eBay,San Francisco,2025-06-27 11:22:27.620640,1
TID_186,ACCT_72,1528.27,Online,Walmart,Miami,2025-06-27 11:22:27.620640,1
TID_187,ACCT_76,11.56,Online,eBay,Chicago,2025-06-22 11:22:27.620640,0
TID_188,ACCT_69,161.47,Online,Target,Miami,2025-06-29 11:22:27.620640,0
TID_189,ACCT_30,1408.49,Online,Best Buy,Miami,2025-06-29 11:22:27.620640,0
TID_190,ACCT_32,1584.77,Online,Amazon,Los Angeles,2025-07-01 11:22:27.620640,0
TID_191,ACCT_26,1857.98,Online,Walmart,Los Angeles,2025-06-27 11:22:27.620640,1
TID_192,ACCT_100,817.29,Online,eBay,Chicago,2025-06-30 11:22:27.620640,1
TID_193,ACCT_9,1662.14,In-store,Amazon,Los Angeles,2025-07-07 11:22:27.620640,1
TID_194,ACCT_5,335.04,In-store,Target,New York,2025-06-24 11:22:27.620640,0
TID_195,ACCT_32,461.2,In-store,Walmart,Miami,2025-06-29 11:22:27.620640,1
TID_196,ACCT_96,262.68,In-store,Best Buy,Chicago,2025-06-18 11:22:27.620640,1
TID_197,ACCT_7,1932.31,Online,Best Buy,New York,2025-07-10 11:22:27.620640,1
TID_198,ACCT_69,1957.31,Online,Walmart,Miami,2025-07-15 11:22:27.620640,1
TID_199,ACCT_4,1295.35,In-store,Best Buy,Los Angeles,2025-06-20 11:22:27.620640,0
TID_200,ACCT_17,677.5,In-store,Target,New York,2025-07-01 11:22:27.620640,1
TID_201,ACCT_58,1172.28,In-store,Best Buy,San Francisco,2025-06-23 11:22:27.620640,0
TID_202,ACCT_21,112.74,Online,Walmart,Chicago,2025-06-23 11:22:27.620640,0
TID_203,ACCT_57,919.17,In-store,Target,San Francisco,2025-06-18 11:22:27.620640,1
TID_204,ACCT_25,738.47,Online,Target,Miami,2025-06-21 11:22:27.620640,0
TID_205,ACCT_63,1736.95,In-store,Amazon,Los Angeles,2025-06-19 11:22:27.620640,0
TID_206,ACCT_84,473.0,In-store,eBay,Chicago,2025-07-14 11:22:27.620640,1
TID_207,ACCT_50,1493.5,In-store,eBay,New York,2025-06-18 11:22:27.620640,1
TID_208,ACCT_85,280.82,Online,Target,San Francisco,2025-06-28 11:22:27.620640,0
TID_209,ACCT_8,1461.39,In-store,Best Buy,New York,2025-07-11 11:22:27.620640,0
TID_210,ACCT_8,851.08,In-store,Target,Miami,2025-07-01 11:22:27.620640,1
TID_211,ACCT_34,571.81,In-store,Walmart,Miami,2025-07-10 11:22:27.620640,1
TID_212,ACCT_40,1656.2,In-store,Best Buy,Miami,2025-07-05 11:22:27.620640,0
TID_213,ACCT_26,647.27,In-store,Best Buy,New York,2025-07-09 11:22:27.620640,0
TID_214,ACCT_98,615.06,Online,Walmart,Miami,2025-07-10 11:22:27.620640,1
TID_215,ACCT_6,774.33,Online,Target,New York,2025-06-26 11:22:27.620640,0
TID_216,ACCT_73,278.23,Online,Best Buy,Miami,2025-07-05 11:22:27.620640,1
TID_217,ACCT_63,1137.94,In-store,eBay,New York,2025-06-15 11:22:27.620640,0
TID_218,ACCT_11,201.06,In-store,eBay,Chicago,2025-07-07 11:22:27.620640,1
TID_219,ACCT_14,1124.23,Online,Amazon,Los Angeles,2025-06-25 11:22:27.620640,0
TID_220,ACCT_62,1157.29,Online,Best Buy,San Francisco,2025-06-26 11:22:27.620640,0
TID_221,ACCT_51,251.45,Online,Walmart,Miami,2025-07-08 11:22:27.620640,1
TID_222,ACCT_54,1934.92,In-store,Best Buy,Los Angeles,2025-06-20 11:22:27.620640,1
TID_223,ACCT_28,570.24,Online,Walmart,Los Angeles,2025-06-25 11:22:27.620640,0
TID_224,ACCT_86,1648.64,In-store,eBay,New York,2025-07-13 11:22:27.620640,1
TID_225,ACCT_35,1789.14,In-store,Walmart,Miami,2025-07-04 11:22:27.620640,1
TID_226,ACCT_43,1071.33,In-store,eBay,San Francisco,2025-06-22 11:22:27.620640,1
TID_227,ACCT_79,1487.79,In-store,Amazon,Miami,2025-06-15 11:22:27.620640,0
TID_228,ACCT_75,1270.0,Online,eBay,Chicago,2025-06-29 11:22:27.620640,1
TID_229,ACCT_9,1619.48,In-store,eBay,New York,2025-06-23 11:22:27.620640,0
TID_230,ACCT_53,296.25,In-store,eBay,Chicago,2025-07-13 11:22:27.620640,0
TID_231,ACCT_17,818.89,Online,Walmart,Los Angeles,2025-06-25 11:22:27.620640,1
TID_232,ACCT_15,1279.58,In-store,eBay,Los Angeles,2025-06-28 11:22:27.620640,1
TID_233,ACCT_47,332.47,In-store,eBay,New York,2025-06-17 11:22:27.620640,0
TID_234,ACCT_14,1467.11,Online,Best Buy,San Francisco,2025-06-17 11:22:27.620640,0
TID_235,ACCT_27,26.83,Online,Walmart,Los Angeles,2025-07-12 11:22:27.620640,1
TID_236,ACCT_100,1268.12,In-store,eBay,Los Angeles,2025-06-22 11:22:27.620640,1
TID_237,ACCT_61,1966.16,Online,Amazon,Los Angeles,2025-06-29 11:22:27.620640,0
TID_238,ACCT_74,1037.94,In-store,Best Buy,Chicago,2025-06-19 11:22:27.620640,1
TID_239,ACCT_9,689.63,In-store,Target,Los Angeles,2025-07-12 11:22:27.620640,1
TID_240,ACCT_67,563.93,Online,Target,San Francisco,2025-06-23 11:22:27.620640,0
TID_241,ACCT_88,1316.1,Online,eBay,San Francisco,2025-07-01 11:22:27.620640,0
TID_242,ACCT_28,900.68,Online,Best Buy,San Francisco,2025-06-18 11:22:27.620640,1
TID_243,ACCT_81,397.82,Online,eBay,New York,2025-06-29 11:22:27.620640,0
TID_244,ACCT_80,1418.22,Online,Best Buy,New York,2025-06-24 11:22:27.620640,1
TID_245,ACCT_30,1542.85,In-store,Target,New York,2025-07-05 11:22:27.620640,1
TID_246,ACCT_58,1538.59,Online,Amazon,Miami,2025-06-22 11:22:27.620640,0
TID_247,ACCT_92,1629.78,In-store,eBay,Miami,2025-06-22 11:22:27.620640,1
TID_248,ACCT_24,592.85,In-store,Target,Los Angeles,2025-06-16 11:22:27.620640,1
TID_249,ACCT_3,406.81,In-store,Target,Los Angeles,2025-07-10 11:22:27.620640,1
TID_250,ACCT_66,620.15,In-store,Walmart,Los Angeles,2025-07-01 11:22:27.620640,1
TID_251,ACCT_3,903.8,In-store,Amazon,Los Angeles,2025-07-09 11:22:27.620640,1
TID_252,ACCT_67,1073.3,Online,Walmart,New York,2025-06-25 11:22:27.620640,0
TID_253,ACCT_39,718.18,In-store,Best Buy,Chicago,2025-07-06 11:22:27.620640,0
TID_254,ACCT_62,63.86,Online,Target,Chicago,2025-06-26 11:22:27.620640,0
TID_255,ACCT_81,807.31,Online,eBay,Chicago,2025-06-25 11:22:27.620640,0
TID_256,ACCT_9,1056.46,Online,Best Buy,New York,2025-07-09 11:22:27.620640,1
TID_257,ACCT_70,1765.66,In-store,Walmart,New York,2025-07-01 11:22:27.620640,0
TID_258,ACCT_17,613.25,Online,Amazon,San Francisco,2025-07-06 11:22:27.620640,0
TID_259,ACCT_6,1963.8,Online,Walmart,Los Angeles,2025-07-06 11:22:27.620640,0
TID_260,ACCT_29,962.84,Online,Best Buy,Chicago,2025-07-11 11:22:27.620640,0
TID_261,ACCT_12,975.13,In-store,Target,San Francisco,2025-06-16 11:22:27.620640,1
TID_262,ACCT_55,309.35,In-store,eBay,San Francisco,2025-07-03 11:22:27.620640,0
TID_263,ACCT_39,1503.62,In-store,Best Buy,Miami,2025-06-21 11:22:27.620640,1
TID_264,ACCT_85,1388.47,In-store,Target,Miami,2025-07-05 11:22:27.620640,0
TID_265,ACCT_85,1801.23,Online,Best Buy,Los Angeles,2025-06-19 11:22:27.620640,1
TID_266,ACCT_70,918.55,In-store,Walmart,San Francisco,2025-06-24 11:22:27.620640,1
TID_267,ACCT_3,483.76,Online,Amazon,New York,2025-07-09 11:22:27.620640,1
TID_268,ACCT_42,487.07,In-store,Best Buy,Chicago,2025-06-16 11:22:27.620640,0
TID_269,ACCT_8,159.3,Online,Walmart,New York,2025-07-10 11:22:27.620640,0
TID_270,ACCT_58,78.84,Online,Walmart,Miami,2025-06-29 11:22:27.620640,0
TID_271,ACCT_62,1842.48,Online,eBay,Miami,2025-06-27 11:22:27.620640,1
TID_272,ACCT_93,1903.81,In-store,Target,Los Angeles,2025-06-21 11:22:27.620640,0
TID_273,ACCT_94,800.42,In-store,Walmart,Miami,2025-07-15 11:22:27.620640,1
TID_274,ACCT_53,1400.38,Online,eBay,Chicago,2025-07-15 11:22:27.620640,1
TID_275,ACCT_83,1959.54,Online,Target,San Francisco,2025-06-22 11:22:27.620640,1
TID_276,ACCT_26,1623.11,Online,Best Buy,San Francisco,2025-06-23 11:22:27.620640,1
TID_277,ACCT_50,700.82,Online,Target,Miami,2025-06-29 11:22:27.620640,1
TID_278,ACCT_71,964.58,Online,Target,San Francisco,2025-07-13 11:22:27.620640,0
TID_279,ACCT_65,1931.87,Online,Walmart,San Francisco,2025-06-25 11:22:27.620640,1
TID_280,ACCT_43,106.72,Online,Target,Miami,2025-06-22 11:22:27.620640,1
TID_281,ACCT_32,1460.66,In-store,eBay,Miami,2025-06-19 11:22:27.620640,0
TID_282,ACCT_44,455.17,In-store,Best Buy,Miami,2025-07-01 11:22:27.620640,1
TID_283,ACCT_6,1219.38,In-store,Walmart,Miami,2025-06-16 11:22:27.620640,1
TID_284,ACCT_100,682.95,Online,Walmart,New York,2025-06-19 11:22:27.620640,0
TID_285,ACCT_36,1593.54,In-store,Amazon,Miami,2025-06-19 11:22:27.620640,1
TID_286,ACCT_8,1052.49,In-store,Amazon,New York,2025-06-16 11:22:27.620640,0
TID_287,ACCT_32,1695.92,In-store,Amazon,New York,2025-07-03 11:22:27.620640,0
TID_288,ACCT_66,598.16,Online,Amazon,New York,2025-06-16 11:22:27.620640,1
TID_289,ACCT_92,1082.59,Online,Walmart,Chicago,2025-07-04 11:22:27.620640,0
TID_290,ACCT_44,672.42,In-store,Walmart,Chicago,2025-06-27 11:22:27.620640,1
TID_291,ACCT_1,1435.55,In-store,Walmart,Los Angeles,2025-07-15 11:22:27.620640,0
